ownerAddress,balance,percentage,updatedAt
0x618eeb0db49456a6563553284863aede62240333,84,0.08408408408408409,1770058619
0x0d32229c8371fb22969e0ba8d15c9778bc9a1e15,44,0.044044044044044044,1770058619
0x445ba6f9f553872fa9cdc14f5c0639365b39c140,44,0.044044044044044044,1770058619
0x4680def488caa5db07037d37207df6284ccb12c4,44,0.044044044044044044,1770058619
0x9078f0767e3c297d98764fb89454ae45a9787857,44,0.044044044044044044,1770058619
0xd4a842511c0a96a3159f865f674c7cdcaf911a48,43,0.043043043043043044,1770058619
0x9ad668bb4bd26dc1cb7c6ec813fef4e96e610bed,30,0.03003003003003003,1770058619
0x2e15ee8a2ad2444be7946322083680eba8af904d,28,0.028028028028028028,1770058619
0x993d09125f344fe649a932a1c21394103593a582,25,0.025025025025025027,1770058619
0x8dc524fffac9c2966e2d62e89da8f5992e18fe74,24,0.024024024024024024,1770058619
0xa3e78f20f2671da3e6c13b53488f72ce0f1bc783,23,0.023023023023023025,1770058619
0x6f011040c826bd95eef31597dacdb7bb62649cfc,21,0.021021021021021023,1770058619
0x796355c237133d204fd39a4d988abe41a3d66086,19,0.01901901901901902,1770058619
0xf5e6f2f052429a5c7400cb9f11833e52b9e6d666,17,0.01701701701701702,1770058619
0xc5a304a15efaa2e7b8be77509a9d809ab93e5c70,15,0.015015015015015015,1770058619
0x16af129fd74008c27f52a40bfd1759454f3983d5,14,0.014014014014014014,1770058619
0x7af761df929afd00b21d0c493150b98f39c2831f,14,0.014014014014014014,1770058619
0x8317e7259e1c21fd2ef342b453ff755f1041fdfa,14,0.014014014014014014,1770058619
0x602117978f45e71766a088c9e31a4ba8f1f2d066,13,0.013013013013013013,1770058619
0x5cd650e26dc1cba3a4482909af0c7e74af0255c1,11,0.011011011011011011,1770058619
0x033a97735bca801ea54d8fbb78ced0c274679be5,10,0.01001001001001001,1770058619
0xbfc64c7d6f55fb0976a62155c312a0073f0dc981,10,0.01001001001001001,1770058619
0xce71a685ca4b5b7d435d638da06bd02efde5ca0e,9,0.009009009009009009,1770058619
0xdf0efd6173c36fe561b0c1939cf55d6bb9b89da0,9,0.009009009009009009,1770058619
0x1233498fe66e2e7f787e34c852564b2d4b0057bd,8,0.008008008008008008,1770058619
0x2c23b77b7e85c7f634c6db175153c96918355bab,7,0.007007007007007007,1770058619
0x2e31d3bb595f156b17b9923fcb2ebc6ee0faa097,7,0.007007007007007007,1770058619
0x415be58b62ed85ea515137ac6aaf03702e7e4040,7,0.007007007007007007,1770058619
0x4dfcd0cb1c62468271837a69faacf95e6f062f14,7,0.007007007007007007,1770058619
0x990d7fb9a60ca851c22e0a3eba374d42ff498da0,7,0.007007007007007007,1770058619
0x9cdbb72ae239d0bde61f924ff0c668c463ecd9f5,7,0.007007007007007007,1770058619
0xa8da6b8948d011f063af3aa8b6beb417f75d1194,7,0.007007007007007007,1770058619
0xcdb48b9881ac1d426d7298e020fa7232860ad67f,7,0.007007007007007007,1770058619
0xdf8b35668c8fcf82b1d1707875c98cd05b6927c4,7,0.007007007007007007,1770058619
0xeb0e870bd6b138bbb5a8aaedb34a80a28ce8314f,7,0.007007007007007007,1770058619
0xf6e2fd186c3367ba54c36d7fb8030c3de93e769c,7,0.007007007007007007,1770058619
0x17ef5451ed7f2b670f62af8c25602521abeda01f,6,0.006006006006006006,1770058619
0x22cec29729013b9b937d90f35c344393019fe58f,6,0.006006006006006006,1770058619
0x350dc39f5ad19e805465c4f8eb0d98f61eba1821,6,0.006006006006006006,1770058619
0x46c866caf5a718ab3ef9096ca437df8843ee3d8e,6,0.006006006006006006,1770058619
0x7ae87370409705b235797f3874b4998c0a79f8e6,6,0.006006006006006006,1770058619
0x7fbaf2d746bbf45b89b56264fcd5dcdfb394e84a,6,0.006006006006006006,1770058619
0xaf6f3ac67cc5b704546a7bc8517b26705b11d453,6,0.006006006006006006,1770058619
0xb480ad818e114707a72ad1c29e1302517f1f7913,6,0.006006006006006006,1770058619
0xbf2c9d417e04e21c812e1c75f6f61cb0204d04cf,6,0.006006006006006006,1770058619
0xfcd29a0cdd8d0f833ce2c4a462c2442d0219b263,6,0.006006006006006006,1770058619
0x0d191f0b8d244f0f6a253189a9eff83f9c5708d3,5,0.005005005005005005,1770058619
0xecab97b58bbf4b3f2cbf79477ac3d2f90e025735,5,0.005005005005005005,1770058619
0xff870acb568612de076608336ae44e0eb63b7618,5,0.005005005005005005,1770058619
0x0905fb3f4d5719314d1c30acf4f21390398b6088,4,0.004004004004004004,1770058619
0x0974c80d96c0c20aeb03f4e4d960448a5d3211df,4,0.004004004004004004,1770058619
0x2556174291310551be128f21ce284c4ffce07585,4,0.004004004004004004,1770058619
0x5e88958dcf0802a442eb9bc41bd030eb5fa98494,4,0.004004004004004004,1770058619
0x671da470ee0446c0d87be5f0739ef1930ec55a77,4,0.004004004004004004,1770058619
0x7efccf94f9777f233e7a7247c763b13e6bfb2400,4,0.004004004004004004,1770058619
0xb5fc19845ab8956a879b04267ce79b5eac4c54e9,4,0.004004004004004004,1770058619
0xf52f52bf095659e2298994d83063383fbc131b1b,4,0.004004004004004004,1770058619
0x1c63344ca137f17b8e9d55118e7565d6a1f387b8,3,0.003003003003003003,1770058619
0x466e70f677b3ebd99ff027ec13cc040f19978abc,3,0.003003003003003003,1770058619
0x46ad48776f8cf25c545bdb559f3d5d001172ca4b,3,0.003003003003003003,1770058619
0x7a8b2352f31ddb4fc143a348e0aebc0483a489c0,3,0.003003003003003003,1770058619
